account_id,customer_id,account_type,branch_id,open_date,current_balance_pkr,status
A500000,C100000,Savings,BR1023,2023-05-19,521096.21,ACTIVE
A500001,C100000,Savings,BR1019,2022-12-03,7517.74,ACTIVE
A500002,C100000,Savings,BR1025,2022-12-10,296198.32,ACTIVE
A500003,C100001,Current,BR1010,2024-01-08,562727.96,ACTIVE
A500004,C100001,Savings,BR1012,2023-05-31,225559.49,ACTIVE
A500005,C100002,Savings,BR1026,2025-05-21,293247.39,Active
A500006,C100003,Current,BR1025,2025-07-24,1723150.14,ACTIVE
A500007,C100004,Savings,BR1025,2024-10-31,367982.71,DORMANT
A500008,C100005,Term Deposit,BR1023,2023-06-06,866861.06,DORMANT
A500009,C100006,Savings,BR1021,2023-04-25,464247.45,ACTIVE
A500010,C100006,Current,BR1019,2023-10-28,852770.59,ACTIVE
A500011,C100006,Savings,BR1026,2023-03-01,178051.18,ACTIVE
A500012,C100007,Current,BR1014,2024-08-08,1106993.28,ACTIVE
A500013,C100008,Current,BR1006,2025-06-06,725128.63,ACTIVE
A500014,C100009,Savings,BR1027,2026-05-17,282499.36,ACTIVE
A500015,C100010,Savings,BR1003,2023-08-30,91014.22,Active
A500016,C100011,Savings,BR1003,2025-09-08,107763.37,Closed
A500017,C100012,Savings,BR1017,2022-06-14,572251.9,DORMANT
A500018,C100012,Savings,BR1021,2023-07-08,210122.81,Active
A500019,C100013,Current,BR1036,2023-04-07,1612032.11,Active
A500020,C100014,Current,BR1013,2026-01-17,2393023.6,ACTIVE
A500021,C100015,Term Deposit,BR1023,2024-03-10,2834297.61,DORMANT
A500022,C100015,Current,BR1014,2024-01-29,251019.29,Active
A500023,C100015,Savings,BR1002,2023-05-17,139932.59,Active
A500024,C100016,Savings,BR1005,2025-11-22,428350.05,Active
A500025,C100017,Savings,BR1003,2024-01-17,321138.42,Active
A500026,C100017,Savings,BR1019,2024-06-07,231288.61,Active
A500027,C100017,Current,BR1024,2023-11-14,320454.59,ACTIVE
A500028,C100018,Savings,BR1006,2024-09-27,403842.75,CLOSED
A500029,C100019,Savings,BR1015,2023-02-09,576053.05,ACTIVE
A500030,C100020,Savings,BR1029,2023-05-05,81322.44,ACTIVE
A500031,C100020,Savings,BR1014,2023-01-27,325046.8,ACTIVE
A500032,C100020,Savings,BR1035,2022-06-13,421551.73,ACTIVE
A500033,C100021,Savings,BR1020,2026-09-03,69323.02,ACTIVE
A500034,C100022,Savings,BR1033,2024-04-10,379534.0,ACTIVE
A500035,C100022,Savings,BR1016,2024-08-18,235983.93,ACTIVE
A500036,C100023,Term Deposit,BR1007,2025-06-01,7055111.34,ACTIVE
A500037,C100023,Term Deposit,BR1005,2025-06-24,2498443.21,DORMANT
A500038,C100024,Savings,BR1007,2025-04-26,100638.49,ACTIVE
A500039,C100024,Savings,BR1027,2025-04-19,233239.13,Active
A500040,C100025,Term Deposit,BR1031,2025-02-02,1828598.64,Dormant
A500041,C100025,Savings,BR1029,2025-06-19,34377.09,CLOSED
A500042,C100026,Savings,BR1029,2024-03-19,260604.89,Active
A500043,C100026,Current,BR1007,2023-06-30,753268.67,DORMANT
A500044,C100027,Savings,BR1010,2026-06-13,59337.72,CLOSED
A500045,C100027,Current,BR1009,2026-05-18,536266.72,ACTIVE
A500046,C100028,Savings,BR1031,2023-08-27,50490.2,DORMANT
A500047,C100028,Savings,BR1011,2022-10-14,142277.39,ACTIVE
A500048,C100028,Current,BR1015,2023-09-23,95771.73,DORMANT
A500049,C100029,Savings,BR1026,2025-04-30,46377.8,ACTIVE
A500050,C100029,Savings,BR1003,2025-07-27,132283.1,ACTIVE
A500051,C100029,Savings,BR1008,2025-05-09,631493.14,ACTIVE
A500052,C100030,Term Deposit,BR1028,2024-11-28,1525983.15,DORMANT
A500053,C100031,Savings,BR1005,2024-08-12,87446.93,ACTIVE
A500054,C100032,Savings,BR1012,2026-04-01,532422.4,ACTIVE
A500055,C100033,Savings,BR1020,2022-08-07,188920.71,ACTIVE
A500056,C100034,Savings,BR1034,2023-04-07,46345.35,Active
A500057,C100035,Current,BR1018,2025-02-11,911007.77,ACTIVE
A500058,C100036,Savings,BR1031,2025-10-12,327376.16,ACTIVE
A500059,C100036,Savings,BR1001,2025-08-15,52111.95,ACTIVE
A500060,C100037,Savings,BR1023,2026-07-29,157671.43,ACTIVE
A500061,C100037,Current,BR1016,2025-09-16,357061.88,ACTIVE
A500062,C100038,Current,BR1020,2023-11-04,572518.77,Active
A500063,C100039,Savings,BR1032,2024-08-31,93812.47,ACTIVE
A500064,C100039,Savings,BR1002,2023-09-29,86000.42,ACTIVE
A500065,C100040,Savings,BR1034,2023-10-07,172118.82,DORMANT
A500066,C100040,Current,BR1017,2024-02-02,407777.15,CLOSED
A500067,C100041,Current,BR1021,2023-07-24,717427.72,ACTIVE
A500068,C100041,Current,BR1015,2024-06-26,160390.8,ACTIVE
A500069,C100042,Current,BR1012,2026-03-10,360623.53,ACTIVE
A500070,C100043,Savings,BR1031,2024-03-16,30368.16,ACTIVE
A500071,C100044,Savings,BR1031,2023-02-21,144074.03,Active
A500072,C100045,Savings,BR1027,2026-02-20,132659.54,ACTIVE
A500073,C100045,Savings,BR1030,2026-09-16,612371.1,ACTIVE
A500074,C100046,Savings,BR1020,2025-08-29,42740.54,ACTIVE
A500075,C100047,Savings,BR1016,2022-08-17,137858.67,ACTIVE
A500076,C100047,Current,BR1005,2022-10-13,973931.41,ACTIVE
A500077,C100048,Current,BR1004,2024-07-03,976552.53,ACTIVE
A500078,C100049,Savings,BR1008,2025-11-23,556253.85,ACTIVE
A500079,C100049,Savings,BR1025,2025-10-17,91854.14,Active
A500080,C100050,Current,BR1024,2023-04-07,907034.37,DORMANT
A500081,C100050,Savings,BR1006,2022-06-04,190043.03,Active
A500082,C100050,Current,BR1003,2022-08-24,784614.27,ACTIVE
A500083,C100051,Savings,BR1009,2023-09-28,54137.75,DORMANT
A500084,C100051,Savings,BR1032,2023-01-05,151828.25,ACTIVE
A500085,C100051,Current,BR1022,2023-07-15,1361756.6,ACTIVE
A500086,C100052,Savings,BR1021,2024-09-06,345390.36,ACTIVE
A500087,C100053,Term Deposit,BR1032,2025-09-03,3039369.62,Active
A500088,C100054,Savings,BR1030,2024-02-01,112125.53,DORMANT
A500089,C100055,Current,BR1005,2023-02-26,92999.92,ACTIVE
A500090,C100056,Savings,BR1006,2025-07-20,144575.88,ACTIVE
A500091,C100056,Term Deposit,BR1012,2025-06-01,423670.47,DORMANT
A500092,C100057,Savings,BR1007,2025-10-21,112583.05,Dormant
A500093,C100057,Current,BR1008,2025-07-13,514332.15,Active
A500094,C100058,Savings,BR1012,2024-01-13,153468.08,Active
A500095,C100059,Savings,BR1027,2023-12-17,221715.9,CLOSED
A500096,C100059,Term Deposit,BR1031,2024-01-16,1017036.5,ACTIVE
A500097,C100060,Current,BR1008,2025-03-16,278089.4,Active
A500098,C100061,Current,BR1026,2024-11-27,778182.07,Active
A500099,C100062,Savings,BR1005,2022-10-18,30199.29,ACTIVE
A500100,C100062,Current,BR1020,2022-02-17,437812.2,ACTIVE
A500101,C100063,Savings,BR1027,2025-11-03,113692.06,ACTIVE
A500102,C100063,Term Deposit,BR1023,2025-09-21,5548262.0,Active
A500103,C100064,Savings,BR1025,2024-07-02,266990.77,ACTIVE
A500104,C100065,Savings,BR1017,2025-08-20,719577.43,ACTIVE
A500105,C100065,Current,BR1027,2024-10-07,820036.54,DORMANT
A500106,C100066,Current,BR1030,2024-10-18,1433690.29,ACTIVE
A500107,C100067,Savings,BR1016,2022-07-07,99107.73,DORMANT
A500108,C100068,Savings,BR1022,2025-09-21,71427.34,ACTIVE
A500109,C100069,Savings,BR1013,2025-07-21,196588.36,ACTIVE
A500110,C100069,Current,BR1033,2025-08-01,531054.58,DORMANT
A500111,C100070,Current,BR1026,2025-12-10,256545.73,ACTIVE
A500112,C100071,Current,BR1025,2024-04-28,380616.86,Active
A500113,C100072,Current,BR1036,2024-01-30,282983.23,Dormant
A500114,C100073,Savings,BR1017,2022-12-11,151892.84,CLOSED
A500115,C100074,Current,BR1029,2023-09-06,470872.41,ACTIVE
A500116,C100075,Savings,BR1009,2023-08-14,366915.54,ACTIVE
A500117,C100076,Current,BR1008,2024-06-21,2063588.5,Active
A500118,C100077,Savings,BR1035,2025-05-04,119927.8,ACTIVE
A500119,C100078,Current,BR1013,2025-10-13,349055.02,ACTIVE
A500120,C100078,Savings,BR1025,2025-05-06,618411.96,ACTIVE
A500121,C100078,Current,BR1012,2025-05-20,387008.1,ACTIVE
A500122,C100079,Savings,BR1005,2024-06-05,440974.86,ACTIVE
A500123,C100079,Current,BR1027,2024-06-07,800218.32,ACTIVE
A500124,C100080,Savings,BR1014,2022-06-02,917402.77,ACTIVE
A500125,C100080,Savings,BR1005,2023-01-06,560354.34,ACTIVE
A500126,C100081,Savings,BR1009,2025-10-22,103491.73,ACTIVE
A500127,C100082,Current,BR1035,2025-11-07,1558157.25,ACTIVE
A500128,C100083,Current,BR1035,2024-12-08,3782080.08,ACTIVE
A500129,C100084,Current,BR1023,2025-07-20,56340.33,ACTIVE
A500130,C100085,Current,BR1012,2026-03-04,292976.73,DORMANT
A500131,C100086,Term Deposit,BR1026,2024-07-08,668630.26,ACTIVE
A500132,C100087,Current,BR1030,2024-12-17,1982837.54,DORMANT
A500133,C100087,Savings,BR1034,2024-07-04,221438.28,CLOSED
A500134,C100087,Savings,BR1015,2024-04-27,97981.61,ACTIVE
A500135,C100088,Current,BR1032,2025-05-07,226016.51,ACTIVE
A500136,C100089,Current,BR1012,2024-04-21,358065.21,ACTIVE
A500137,C100090,Current,BR1009,2025-07-21,201768.86,ACTIVE
A500138,C100090,Savings,BR1014,2025-07-10,20640.45,ACTIVE
A500139,C100090,Savings,BR1003,2026-01-05,883837.95,ACTIVE
A500140,C100091,Current,BR1019,2024-01-11,181007.12,Active
A500141,C100091,Savings,BR1032,2023-01-19,169451.44,ACTIVE
A500142,C100092,Current,BR1014,2024-02-09,1388332.01,ACTIVE
A500143,C100092,Current,BR1023,2024-06-25,1022824.89,Active
A500144,C100093,Savings,BR1013,2025-11-21,377066.87,ACTIVE
A500145,C100094,Savings,BR1024,2023-07-04,97801.63,ACTIVE
A500146,C100094,Term Deposit,BR1028,2023-01-08,1087533.34,ACTIVE
A500147,C100095,Current,BR1036,2025-03-02,243339.18,Active
A500148,C100095,Savings,BR1022,2024-09-20,29496.15,Active
A500149,C100095,Current,BR1017,2024-06-11,351282.26,ACTIVE
A500150,C100096,Current,BR1012,2025-04-30,2523951.05,ACTIVE
A500151,C100097,Savings,BR1007,2026-03-08,123690.4,ACTIVE
A500152,C100097,Savings,BR1005,2026-02-26,307370.93,ACTIVE
A500153,C100098,Savings,BR1026,2023-02-01,446674.1,ACTIVE
A500154,C100099,Current,BR1029,2024-12-06,4507658.19,ACTIVE
A500155,C100100,Savings,BR1016,2024-04-08,96589.04,ACTIVE
A500156,C100101,Term Deposit,BR1010,2024-08-28,342974.92,DORMANT
A500157,C100102,Savings,BR1001,2023-01-16,361327.61,ACTIVE
A500158,C100103,Savings,BR1028,2024-03-04,662376.51,ACTIVE
A500159,C100104,Term Deposit,BR1035,2025-04-24,538022.0,DORMANT
A500160,C100105,Savings,BR1017,2026-04-20,108495.78,ACTIVE
A500161,C100105,Term Deposit,BR1033,2025-10-22,732665.98,ACTIVE
A500162,C100106,Savings,BR1014,2026-02-28,49378.89,ACTIVE
A500163,C100107,Savings,BR1023,2025-05-09,55088.47,DORMANT
A500164,C100108,Savings,BR1005,2025-08-10,50654.95,Active
A500165,C100108,Savings,BR1020,2025-09-24,366698.34,ACTIVE
A500166,C100109,Term Deposit,BR1006,2024-12-16,3733278.28,ACTIVE
A500167,C100110,Savings,BR1024,2023-03-02,227375.1,DORMANT
