loan_id,customer_id,product,principal_pkr,interest_rate_pct,tenor_months,monthly_installment_pkr,disbursement_date,credit_utilisation,prior_delinquencies,days_past_due,loan_status
L700000,C110844,Auto Finance,473700.0,13.87,60,10990.94,2025-03-01,0.5911,1,0,ACTIVE
L700001,C102966,Personal Loan,317600.0,21.78,36,12091.98,2023-06-28,0.6964,1,15,ACTIVE
L700002,C101667,Personal Loan,323200.0,18.05,36,11693.57,2022-12-19,0.5472,1,30,ACTIVE
L700003,C111756,Personal Loan,871600.0,25.21,36,34751.05,2026-03-04,0.0777,0,15,ACTIVE
L700004,C110711,Personal Loan,327400.0,19.87,36,12147.52,2024-09-28,0.1398,0,0,CLOSED
L700005,C107602,Auto Finance,595700.0,13.33,60,13655.26,2022-06-05,0.3377,0,383,DEFAULT
L700006,C111575,Credit Card,150000.0,19.81,12,13878.56,2023-01-30,0.9386,1,0,ACTIVE
L700007,C109789,Auto Finance,6129800.0,22.19,60,169960.96,2025-09-21,0.3328,1,30,ACTIVE
L700008,C102038,Personal Loan,601900.0,,36,22443.91,2023-11-08,0.5598,0,0,ACTIVE
L700009,C108572,Auto Finance,431900.0,15.19,60,10318.54,2027-04-24,0.1849,0,7,ACTIVE
L700010,C102939,Personal Loan,844000.0,19.87,36,31311.19,2025-04-30,0.1541,1,30,ACTIVE
L700011,C108504,Personal Loan,985500.0,21.1,36,37179.57,2022-06-18,0.8044,0,0,ACTIVE
L700012,C107543,Credit Card,37600.0,20.55,12,3491.55,2023-09-24,0.5567,0,0,ACTIVE
L700013,C108641,Credit Card,251300.0,,12,22998.32,2023-03-07,0.3385,0,30,ACTIVE
L700014,C101322,Personal Loan,2731100.0,15.09,36,94793.77,2026-03-13,0.3653,0,0,ACTIVE
L700015,C105606,Credit Card,194900.0,17.54,12,17824.56,2022-11-05,0.0007,0,15,ACTIVE
L700016,C106383,Personal Loan,166000.0,21.97,36,6336.31,2023-09-18,0.6429,0,0,ACTIVE
L700017,C108587,Auto Finance,1252500.0,22.65,60,35056.05,2024-12-20,0.1796,0,0,ACTIVE
L700018,C101704,Personal Loan,1166400.0,15.36,36,40641.18,2023-11-05,0.1037,0,0,ACTIVE
