transaction_id,account_id,channel,merchant_category,transaction_date,amount_pkr,direction
T9193566,A510605,POS,Groceries,2023-10-09 11:30:32,2237.59,DEBIT
T9011503,A507722,Mobile App,Restaurants,2024-10-01 05:24:19,23419.91,DEBIT
T9216493,A517815,Mobile App,Fuel,2025-07-10 16:35:09,866.88,DEBIT
T9091548,A505484,Mobile App,Fuel,2025-12-29 11:08:06,193.78,DEBIT
T9220109,A509759,Internet Banking,Fuel,2025-10-22 07:48:55,,DEBIT
T9041363,A512067,Mobile App,Fuel,2025-12-01 07:38:00,7030.91,DEBIT
T9130609,A501117,Mobile App,Healthcare,2025-12-18 17:39:31,1208.65,DEBIT
T9008837,A515014,Internet Banking,Transfer,2025-08-31 00:39:37,1356.8,CREDIT
T9023066,A510919,Mobile App,Groceries,2025-07-28 16:29:37,569.66,DEBIT
T9048240,A516352,Mobile App,Travel,2023-11-11 13:27:24,44568.12,DEBIT
T9016242,A500125,Mobile App,Restaurants,2023-06-28 20:25:12,2349.89,DEBIT
T9229196,A517341,POS,Groceries,2023-04-05 17:55:11,2921.07,DEBIT
T9190881,A508931,POS,Salary Credit,2025-12-28 14:19:09,31758.59,CREDIT
T9058506,A503198,POS,Restaurants,2024-02-03 20:06:12,1107.7,DEBIT
T9259557,A507861,Mobile App,Groceries,2024-03-21 11:00:32,706.7,DEBIT
T9000617,A506798,Mobile App,Fuel,2024-06-02 14:27:31,2444.63,DEBIT
T9008303,A506569,ATM,Education,2023-08-22 08:37:17,2143.15,DEBIT
T9114391,A501847,POS,Education,2025-10-25 11:11:37,1255.65,DEBIT
T9031293,A513807,Mobile App,Groceries,2025-04-26 12:17:27,522.88,DEBIT
T9108084,A512067,Branch Counter,Groceries,2025-11-17 07:21:11,4014.58,DEBIT
T9017450,A507888,ATM,Transfer,2023-11-20 12:33:25,3370.81,CREDIT
T9046556,A517457,Internet Banking,Utilities,2023-12-24 17:17:22,694.94,DEBIT
T9250214,A504841,Mobile App,Salary Credit,2022-09-03 18:38:10,30353.17,CREDIT
T9177268,A507797,ATM,Restaurants,2025-12-23 05:32:29,3331.89,DEBIT
T9157457,A505144,Mobile App,Fuel,2025-10-28 22:29:58,29123.77,DEBIT
T9178683,A515522,ATM,Restaurants,2024-07-21 04:14:47,6767.47,DEBIT
T9006218,A514280,ATM,Travel,2024-09-02 05:40:39,41442.38,DEBIT
